date,temperature,humidity,luminosity
2018-11-26 17:50:18.613,18.9,31.6,45
2018-11-26 17:50:08.353,18.9,31.6,45
2018-11-26 17:49:58.107,18.9,31.6,45
2018-11-26 17:49:47.846,19.0,31.7,45
2018-11-26 17:49:37.601,19.0,31.7,45
2018-11-26 17:49:27.340,18.9,31.7,45
2018-11-26 17:49:17.096,18.9,31.6,45
2018-11-26 17:49:06.835,18.9,31.6,45
2018-11-26 17:48:56.589,18.9,31.6,45
2018-11-26 17:48:46.329,18.9,31.7,45
2018-11-26 17:48:36.084,18.9,31.6,45
2018-11-26 17:48:25.837,18.9,31.6,45
2018-11-26 17:48:15.576,18.9,31.6,45
2018-11-26 17:48:05.332,18.9,31.7,45
2018-11-26 17:47:55.069,18.9,31.7,45
2018-11-26 17:47:44.826,18.9,31.7,45
2018-11-26 17:47:34.565,18.9,31.8,45
2018-11-26 17:47:24.320,19.0,31.9,45
2018-11-26 17:47:14.060,18.9,31.9,45
2018-11-26 17:47:03.815,18.9,31.7,45
2018-11-26 17:46:53.554,18.9,31.6,45
2018-11-26 17:46:43.309,18.9,31.6,45
2018-11-26 17:46:33.048,18.9,31.6,45
2018-11-26 17:46:22.803,19.0,31.6,45
2018-11-26 17:46:12.542,19.0,31.6,45
2018-11-26 17:46:02.297,18.9,31.6,45
2018-11-26 17:45:52.036,18.9,31.6,45
2018-11-26 17:45:41.791,19.0,31.6,45
2018-11-26 17:45:31.531,18.9,31.5,45
2018-11-26 17:45:21.286,18.9,31.5,45
2018-11-26 17:45:11.024,18.9,31.5,45
2018-11-26 17:45:00.780,18.9,31.5,45
2018-11-26 17:44:50.518,19.0,31.5,45
2018-11-26 17:44:40.274,19.0,31.5,45
2018-11-26 17:44:30.012,19.0,31.5,45
2018-11-26 17:44:19.766,19.0,31.6,45
2018-11-26 17:44:09.506,18.9,31.4,45
2018-11-26 17:43:59.261,19.0,31.5,45
2018-11-26 17:43:48.999,19.0,31.5,45
2018-11-26 17:43:38.755,19.0,31.6,45
2018-11-26 17:43:28.495,19.0,31.5,45
2018-11-26 17:43:18.250,19.0,31.5,45
2018-11-26 17:43:07.988,19.0,31.6,45
2018-11-26 17:42:57.744,19.0,31.5,45
2018-11-26 17:42:47.483,19.0,31.6,45
2018-11-26 17:42:37.238,19.0,31.6,45
2018-11-26 17:42:26.977,19.0,31.5,45
2018-11-26 17:42:16.731,19.0,31.6,45
2018-11-26 17:42:06.471,19.0,31.7,45
2018-11-26 17:41:56.226,19.0,31.6,45
2018-11-26 17:41:45.965,19.0,31.5,45
2018-11-26 17:41:35.719,19.0,31.5,45
2018-11-26 17:41:25.457,19.0,31.5,45
2018-11-26 17:41:15.213,19.0,31.5,45
2018-11-26 17:41:04.952,19.0,31.5,45
2018-11-26 17:40:54.706,19.0,31.6,45
2018-11-26 17:40:44.446,19.0,31.7,45
2018-11-26 17:40:34.201,19.0,31.7,45
2018-11-26 17:40:23.939,19.0,31.6,45
2018-11-26 17:40:13.695,19.0,31.6,45
2018-11-26 17:40:03.451,19.0,31.7,45
2018-11-26 17:39:53.189,19.0,31.7,45
2018-11-26 17:39:42.943,19.0,31.6,45
2018-11-26 17:39:32.685,19.0,31.5,45
2018-11-26 17:39:22.439,19.0,31.5,45
2018-11-26 17:39:12.178,19.0,31.5,45
2018-11-26 17:39:01.934,19.0,31.6,45
2018-11-26 17:38:51.672,18.9,31.5,45
2018-11-26 17:38:41.428,18.9,31.5,45
2018-11-26 17:38:31.166,19.0,31.5,45
2018-11-26 17:38:20.921,19.0,31.5,45
2018-11-26 17:38:10.661,19.0,31.5,45
2018-11-26 17:38:00.415,19.0,31.6,45
2018-11-26 17:37:50.154,18.9,31.5,45
2018-11-26 17:37:39.909,18.9,31.5,45
2018-11-26 17:37:29.646,18.9,31.5,45
2018-11-26 17:37:19.403,19.0,31.5,45
2018-11-26 17:37:09.142,19.0,31.5,45
2018-11-26 17:36:58.896,19.0,31.5,45
2018-11-26 17:36:48.636,19.0,31.5,45
2018-11-26 17:36:38.391,19.0,31.5,45
2018-11-26 17:36:28.129,18.9,31.5,45
2018-11-26 17:36:17.885,18.9,31.5,45
2018-11-26 17:36:07.624,18.9,31.5,45
2018-11-26 17:35:57.379,18.9,31.5,45
2018-11-26 17:35:47.118,18.9,31.5,45
2018-11-26 17:35:36.872,19.0,31.5,45
2018-11-26 17:35:26.613,18.9,31.5,45
2018-11-26 17:35:16.368,19.0,31.5,45
2018-11-26 17:35:06.107,19.0,31.5,45
2018-11-26 17:34:55.861,19.0,31.4,45
2018-11-26 17:34:45.601,19.0,31.5,45
2018-11-26 17:34:35.357,19.0,31.5,45
2018-11-26 17:34:25.094,19.0,31.5,45
2018-11-26 17:34:14.850,19.0,31.4,45
2018-11-26 17:34:04.590,19.0,31.5,45
2018-11-26 17:33:54.344,19.0,31.5,45
2018-11-26 17:33:44.083,18.9,31.5,45
2018-11-26 17:33:33.839,19.0,31.5,45
2018-11-26 17:33:23.576,18.9,31.5,45
2018-11-26 17:33:13.332,19.0,31.6,45
